Base Peak MZ,Component RT,Base Peak Area,Component Area,Compound Name,Match Factor,Sample Name,File Name
86,4.1154571915499,29260.0812763763,48049.9309379134,"Methane-d, trichloro-",78.3209273227202,V7.1_dx.aa3_01042021_young,V7.1_dx.aa3_01042021_young.D
86,4.12137842588078,11747.6609321255,1805.35438948458,"2,6-Dimethylheptan-4-amine",55.6812632897483,V8.1_bx.ts3_01052021_young,V8.1_bx.ts3_01052021_young.D
48.94,4.12159691510066,6636.48908233961,24420.1710675952,2-Carbethoxy-N-methylpyrrolidine,58.6796107072097,V12.3_ac.ta2_01262021_mature,V12.3_ac.ta2_01262021_mature.D
49,4.12160968159405,11118.7648360895,25875.7323119934,Boron trifluoride,57.4715639753641,V12.3_ac.ta2_01262021_mature,V12.3_ac.ta2_01262021_mature.D
85.92,4.12304743559133,144145.360610714,174419.763685081,"L-Leucine, methyl ester",68.7214044831263,V9.10_ac.zm2_01192021_mature,V9.10_ac.zm2_01192021_mature.D
86,4.12477109694616,133111.981908608,171794.731756674,"2,6-Dimethylheptan-4-amine",61.6106396333109,V9.9_cx.zm3_01192021_mature,V9.9_cx.zm3_01192021_mature.D
85.93,4.12661369901445,58223.7455839398,145426.982269073,"Methane-d, trichloro-",64.9448145458293,V6.3_dc.ac1_12312020_young,V6.3_dc.ac1_12312020_young.D
48.95,4.12960467786504,35893.756765686,51540.282359705,Boron trifluoride,74.9792447574528,V12.2_cc.ta2_01262021_mature,V12.2_cc.ta2_01262021_mature.D
48.94,4.13003151391197,6814.36650611948,89847.7094799839,"L-Leucine, methyl ester",55.4843660375492,V8.2_dc.ts2_01052021_young,V8.2_dc.ts2_01052021_young.D
49,4.13282703451478,13761.2315899964,1915.84486133418,Boron trifluoride,51.2681412639373,V6.4_ac.ac1_12312020_young,V6.4_ac.ac1_12312020_young.D
85.89,4.13941023616182,138846.024196613,173048.751553292,"L-Leucine, methyl ester",72.6315750198349,V9.2_ex.ft4_01182021_mature,V9.2_ex.ft4_01182021_mature.D
48.95,4.14200464583527,58413.2695741909,117026.728827677,Methylene chloride,73.0062999266046,V7.2_bc.aa2_01042021_young,V7.2_bc.aa2_01042021_young.D
86,4.14266309590143,133903.104860897,1548.7947307989,"L-Leucine, methyl ester",64.8862641496338,V8.3_dx.ts2_01052021_young,V8.3_dx.ts2_01052021_young.D
87.88,4.14471115022012,22714.2915623093,39791.6621114992,"Methane-d, trichloro-",67.4307618705608,V6.2_ec.al2_12312020_young,V6.2_ec.al2_12312020_young.D
86,4.14552674947743,3451.03616206872,46099.7563983314,"Thiophene, 2,5-dihydro-",61.0879576949295,V6.2_ec.al2_12312020_young,V6.2_ec.al2_12312020_young.D
49,4.14779078550527,87559.3623290254,5969.02770760625,Methylene chloride,74.4674917586071,V13.3_ec.si1_01272021_mature,V13.3_ec.si1_01272021_mature.D
46.93,4.15999663398043,62176.2785940818,201048.113705841,"Methane-d, trichloro-",79.2502303799512,V7.3_dx.aa4_01042021_young,V7.3_dx.aa4_01042021_young.D
46.91,4.16045548984124,41175.1835460949,90638.5575741035,"L-Norleucine, ethyl ester",51.7050711490123,V9.9_cx.zm3_01192021_mature,V9.9_cx.zm3_01192021_mature.D
44,4.16257117825543,770.786746329257,1594.43901666648,"Imidazole-5-carboxylic acid, 2-amino-",57.2053070158172,V9.9_cx.zm3_01192021_mature,V9.9_cx.zm3_01192021_mature.D
