Component RT,Base Peak MZ,Base Peak Area,Component Area,Compound Name,Match Factor,Sample Name,File Name
4.119230007,47.93,136981.118,155249.8751,Boron trifluoride,76.04995421,Std_soln_00,Std_soln_00.D
4.124089059,86,19352.90496,28258.35316,"Methane-d, trichloro-",67.81567692,Std_soln_07,Std_soln_07.D
4.139093742,83.95,83223.21528,208342.5507,Methylene chloride,84.53595126,Std_soln_00a,Std_soln_00a.D
4.170414683,39.93,474.1713505,442.7390493,"6-Phenyl-6H-1,2,3,4,5,6,7-[1,2,3]triazolo[4,5-e][1,2,3,4]tetrazine-1,3-dione",59.41866798,Std_soln_00,Std_soln_00.D
4.176672459,123,178.3476436,728.8452354,"Benzene, nitro-",54.52483833,Std_soln_00a,Std_soln_00a.D
4.177583963,42.97,918.0456547,1760.983328,"1,2,5-Oxadiazole",53.90680385,Std_soln_07,Std_soln_07.D
4.209614366,84,15351.36913,30688.36884,"3-Amino-1,2,4-triazole-5-carboxylic acid",66.38391223,Std_soln_07,Std_soln_07.D
4.210337843,48.98,780.9921753,44329.43091,"Acetaldehyde, ethylidenehydrazone",52.73599961,Std_soln_07,Std_soln_07.D
4.244357505,40.97,1631.947741,3347.284494,"1,5-Heptadiene, 3,4-dimethyl-",69.35501532,Std_soln_07,Std_soln_07.D
4.245289214,44,13424.57623,44480.58849,"Benzenemethanol, .alpha.-(1-aminoethyl)-, [R-(R*,R*)]-",71.86075095,Std_soln_00,Std_soln_00.D
4.259727806,44,3965.967003,4871.44566,2-Chloropropionamide,69.21751,Std_soln_00a,Std_soln_00a.D
4.311943817,83.95,5273.09475,6496.158642,"Propane, 2-isocyanato-2-methyl-",70.20884502,Std_soln_07,Std_soln_07.D
4.321807327,49,3490.598182,8029.116849,Chloromethanesulfonyl chloride,53.27876528,Std_soln_00,Std_soln_00.D
4.399552776,51,4167.65603,653.6032555,Difluoromethyl trifluoromethanesulfonate,59.88728782,Std_soln_00a,Std_soln_00a.D
4.585271565,51,2232.113668,4487.089612,Propiolonitrile,71.81945569,Std_soln_00,Std_soln_00.D
4.790488232,55,235.0585713,243.9123731,"Hex-2-enoic acid, 6-(4-cyano-phenyl)-naphthalen-2-yl ester",61.37809385,Std_soln_07,Std_soln_07.D
5.038087399,42.04,537.8702964,1036.150413,Borane carbonyl,78.8404204,Std_soln_00,Std_soln_00.D
5.204418633,281,3138.404681,5674.163663,"4H-1-Benzopyran-4-one, 6,7-dimethoxy-3-phenyl-",67.67142704,Std_soln_07,Std_soln_07.D
5.375726307,88,58618.40355,294869.1357,"Hexanoic acid, ethyl ester",99.35011811,Std_soln_00a,Std_soln_00a.D
5.376121074,88.05,53462.18483,263866.0427,"Hexanoic acid, ethyl ester",99.32456762,Std_soln_00,Std_soln_00.D
5.387309241,87.89,2139.524836,9896.488149,"Hexanoic acid, ethyl ester",80.6837734,Std_soln_07,Std_soln_07.D
5.389953069,87.89,2139.524836,4415.381396,"1,2-Hydrazinedicarboxaldehyde",56.80996484,Std_soln_07,Std_soln_07.D
5.460360601,43,14177.75118,125725.8982,Octanal,97.10302206,Std_soln_00a,Std_soln_00a.D
5.463818905,56.04,3028.540813,30943.11385,Octanal,96.05008229,Std_soln_07,Std_soln_07.D
5.469682077,43.05,2233.861173,12892.39576,"2-Hexen-1-ol, (E)-",77.4212099,Std_soln_00,Std_soln_00.D
5.469949169,43,2221.856475,16150.39788,"2-Octen-1-ol, (E)-",77.99357091,Std_soln_00,Std_soln_00.D
6.798384935,57,57409.9381,238776.2287,Undecane,98.6771852,Std_soln_00a,Std_soln_00a.D
6.798701234,57,20362.85115,86270.05019,Undecane,97.10731572,Std_soln_00,Std_soln_00.D
6.799430348,57.02,972.2233454,4068.040329,"Pentane, 2,2,3,4-tetramethyl-",88.01397782,Std_soln_07,Std_soln_07.D
6.940865911,78,143.3783232,261.152423,"2-Hydroxypyridine, heptafluorobutyrate",55.88044279,Std_soln_00,Std_soln_00.D
